Ticker
ED
CVX
GD
BP
MSI
HON
FL
GT
JNJ
MMM
DIS
XRX
MO
CNP
PG
GE
AA
BA
AEP
KR
DTE
IBM
CAT
KO
HPQ
IP
MRK
XOM
MRO
RTX
MCD
ETN
LLY
AXP
HAL
PCG
DD
EMR
PBI
TXN
F
BMY
SJW
UIS
GLT
PEP
DE
WFC
ETR
PFE
WLY
SWN
HUBB
WMT
AIG
TELL
CLX
MMC
BRN
IDA
CMI
PKOH
CSL
TKR
MSB
NWN
SNA
K
CMS-PB
SWX
UGI
HE
GHC
VMI
NBR
GWW
BALL
WGO
CVS
CTA-PB
CLF
KMT
LNT
OLN
TER
GCO
CNA
SPGI
AWR
CMS
RVTY
CWT
CTA-PA
OGE
PW
BDL
MDU
ES
TXNM
BDX
AVY
AVA
TXT
DIOD
TY-P
EGP
TGT
SCL
MSEX
ECL
MKC
XEL
HRB
CRS
PNW
COKE
FUL
SXI
SONY
VLGEA
VMC
KLIC
SIF
NEE
ALX
AEM
NI
BMI
SGC
SR
IHT
STC
BAC
EVRG
MTZ
GATX
WHR
CPB
AP
OTTR
LZB
UVV
TNC
SEB
BKH
MSA
CVR
ITW
MDT
CL
EXC
RGR
USB
AVT
ALCO
PHI
GFF
AXR
NYT
EIX
SVT
BK
NFG
PNR
CHE
APOG
MATX
FRT
SKY
TPC
DCO
ALE
GTY
BRT
BF-A
TRN
WDFC
WY
SYY
WRB
IFF
AE
TAP
OII
PNC
TRV
MAT
HELE
C
LMT
FNMA
NC
TRNS
ASA
FDX
WDC
DHR
SPB
APA
MTR
LXU
LUV
PEG
UNP
R
RLBY
BIO
GGG
STEW
FHN
BH
CXT
DINO
TT
NWL
WST
UMBF
AGYS
RAND
SFES
MCI
RLI
PVH
HL
WWW
WTRG
KELYA
IPG
TGNA
JOB
EFX
PATK
HBAN
SU
GPC
PPL
KEX
LEG
HVT
GHM
CMA
NRT
LEN
DLX
HAS
VSH
TY
USLM
BF-B
ABT
SPXC
MAS
LUMN
PCAR
MARPS
FRD
MGEE
ACNT
RHI
L
FLXS
SUP
LPX
CINF
BRID
SMTC
JPM
CTS
ALK
TWIN
BHP
TM
FARM
KWR
AFG
CHD
TNLX
COHU
ARTW
ZION
MLKN
HNI
CBSH
JWN
MUR
MCS
ESP
PNRG
OXM
ADM
PHM
VFC
TRC
WEYS
ARW
CAG
ELME
LOW
TPL
BOH
JHS
CUZ
INTC
INSI
KMB
ROL
AFL
HRL
INTG
GAP
ADI
ORI
MOG-B
AMD
APD
NL
CMC
USEG
TFX
SWK
CCK
RRX
CSWC
PGR
USAU
WEC
EQT
DSGR
WABC
SYK
ADX
JHI
MYE
FLS
TSN
RF
LEE
VHI
CW
RPM
WMK
PDNLA
AAME
ATRO
EBF
LNC
BRK-A
ADP
AIT
IMO
FMC
SIGI
CMTL
DOV
PH
NPK
LANC
HSY
CAL
VTRS
JEF
THC
AIR
UFI
TTC
J
SOR
WOR
NJR
SXT
PPG
MTRN
CET
KOSS
CFR
TMO
OMC
LGL
SHW
CRD-B
NTRS
DUK
ABM
ESCA
YELLQ
GFI
BSET
FLO
PAI
UDR
TDW
WSO-B
CDE
PHG
PKE
B
CAJPY
ASH
NUE
SCI
TRMK
SENEB
TR
DCI
OMI
GRC
WBA
POWL
NX
ACU
AZZ
BCV
EML
HXL
D
ASB
BPOP
CACI
UG
HMC
STT
HEI
NEM
ROG
CMCSA
FSS
CPK
HES
FELE
UEPEO
SEE
VNO
PCH
PEO
HST
MTB
DDS
NEU
SON
KEQU
NVRI
GIS
GAM
TYL
AMAT
FITB
SMP
CTO
SSY
NOBH
NDSN
VIRC
HWKN
UEPEN
BKTI
UFCS
DOMH
SIEB
TFC
EDUC
TEX
ODC
WELL
UL
GSK
BTI
UEPEP
WEN
MUX
MOG-A
AON
ENZ
FEIM
RRC
HURC
AROW
ABEO
GL
OKE
TISI
KLAC
HP
ALNT
SJT
PBT
CSX
CBT
TAYD
PSA
CECO
NKE
CIA
AAPL
BXMT
BRO
KGC
FUJIY
SEIC
NVO
MXF
ELSE
FSTR
RGLD
UHS
AOXY
ERIC
HD
ALOT
BAX
FONR
CBRL
UUU
IDCC
PEGY
VXRT
TDS
GNTX
NSSC
HUM
COP
DXC
LHX
ROK
WMB
SO
NOC
OXY
GLW
BC
SLB
VLO
CSPI
TEVA
CI
BBWI
ARL
SSL
NSC
WLYB
TRP
MOD
OPY
MEI
VSEC
PRG
WAFD
BCE
PAR
VBF
SBR
COO
AMSWA
LGTY
TURN
CVBF
TILE
TRST
OLP
VALU
AMGN
KTCC
RJF
WSM
SF
DXR
CAH
ASYS
SRCE
CTAS
PAYX
CULP
HOV
RCMT
CAR
TCCO
BEN
SLM
AOS
ANIX
CASY
RELL
DYNT
VZ
T
JBHT
HCSG
BELFA
CVM
TOFB
RDI
RAMP
FFBC
ATO
BN
CP
EAT
THO
UNF
SBCF
ENZN
MLAB
SHEL
ENB
GBCI
AIRT
LRCX
MU
DY
WSO
RES
SHYF
AJG
ONB
AMS
REX
AME
KELYB
KF
LNW
BMRA
SWKS
EXPD
MGA
NNN
UNH
MGRC
CMCL
VGZ
ICAD
MAYS
VIDE
ASRV
GOLD
UMH
UTL
TCI
LYTS
SFNC
BBY
GROW
DOC
LCII
BIGGQ
DRS
AEG
ADSK
DVN
NVR
ROST
FULT
IBCP
ABCP
NICH
OSK
CADE
PEBK
WTM
JKHY
MCY
CBU
MNST
ARKR
IAF
BRST
STKL
JJSF
PLXS
RMCF
ASG
ORCL
MSFT
ACUR
TROW
GHI
CEF
EACO
FAX
RGEN
INDB
CLDX
HVT-A
DLHC
TMP
BCPC
XOMA
DJCO
ASTE
WERN
ECF
SKYW
FRPH
HOG
REFR
TOL
COST
AMWD
EEA
BDN
KBH
CLFD
PDEX
ADBE
GAB
WTS
WKC
FNB
LAKE
BCS
